original_invoice_id,extraction_status,error_message,extracted_number,extracted_po_number,extracted_amount,extracted_tax_amount,extracted_currency_code,extracted_date,extracted_due_date,extracted_payment_term_days,extracted_vendor,extracted_line_items
14449818,success,NA,1119003363,28506,128.41,21.4,GBP,2019-03-26,2019-05-31,60,ABAC Air Compressors & Tools Ltd,"[{""description"": ""AIR-OIL-SEPARATOR KIT C40"", ""quantity"": 1.0, ""unit_price"": 112.46, ""total"": 78.72}, {""description"": ""CAN FLUIDTECH 5L"", ""quantity"": 1.0, ""unit_price"": 33.23, ""total"": 13.29}]"
20603762,success,NA,509005,27865,63.38,10.56,GBP,2023-03-21,NA,NA,POWERFLEX,"[{""description"": ""AUDI SUBFRAME BUSH 12MM"", ""quantity"": 2.0, ""unit_price"": 29.95, ""total"": 23.16}, {""description"": ""AUDI SUBFRAME REAR BUSH 12MM"", ""quantity"": 2.0, ""unit_price"": 26.45, ""total"": 21.16}, {""description"": ""DPD NEXT DAY UK MAINLAND 0-5KGS"", ""quantity"": 1.0, ""unit_price"": 8.5, ""total"": 8.5}]"
20481987,success,NA,UKF083038,SOUK046922,635.0,0.0,GBP,2022-10-26,NA,NA,Euro Car Parts Limited trading as VEGE UK,"[{""description"": ""GearboxFiat Panda/500, Ford Ka 1.2i (51 kW169A4000 FP4 Gearbox# C514 Oem part 55223878/7172"", ""quantity"": 1.0, ""unit_price"": 310.0, ""total"": 310.0}, {""description"": ""DEPOSIT"", ""quantity"": 1.0, ""unit_price"": 325.0, ""total"": 325.0}, {""description"": ""Tread First LtdStowmarket Business ParkErnest nunn RoadStowmarketIP14 2ED"", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}]"
14086685,error,Could not download PDF from URL for 28072018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20253189,success,NA,48681,SO52220 (24576),144.0,24.0,GBP,2022-01-24,NA,60,Axle Specialists,"[{""description"": ""[FCA-AXL-0232] Axle (with Bushes) - Fiat 500 Rear Axle Drum ABS Xenon - 3P (07-12) 83 (12/15)"", ""quantity"": 1.0, ""unit_price"": 100.0, ""total"": 100.0}, {""description"": ""1 x ship | Saltash, @ \u00a320.00"", ""quantity"": 1.0, ""unit_price"": 20.0, ""total"": 20.0}]"
14297707,error,Could not download PDF from URL for BatchHF_ID3321461206849397002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14667268,success,NA,90020899,NA,599.35,99.89,GBP,2019-08-15,NA,NA,Remy Automotive UK Ltd,"[{""description"": ""HYDRAULIC PUMP HYUNDAI/KIA"", ""quantity"": 2.0, ""unit_price"": 62.42, ""total"": 124.84}, {""description"": ""SURCHARGE"", ""quantity"": 2.0, ""unit_price"": 50.0, ""total"": 100.0}, {""description"": ""HYDRAULIC PUMP FORD/MAZDA"", ""quantity"": 1.0, ""unit_price"": 285.11, ""total"": 94.71}, {""description"": ""SURCHARGE"", ""quantity"": 1.0, ""unit_price"": 50.0, ""total"": 50.0}, {""description"": ""HYDRAULIC PUMP VOLVO"", ""quantity"": 1.0, ""unit_price"": 79.91, ""total"": 79.91}, {""description"": ""SURCHARGE"", ""quantity"": 1.0, ""unit_price"": 50.0, ""total"": 50.0}]"
13937388,success,NA,INV0389730,S411365,4080.0,680.0,EUR,2018-05-03,2018-07-30,60,The turbocharger people,"[{""description"": ""TURBO NEW - PSA VARIOUS HDI 1.6LD 110HP"", ""quantity"": 10.0, ""unit_price"": 340.0, ""total"": 3400.0}, {""description"": ""OIL FILLED SYRINGE"", ""quantity"": 10.0, ""unit_price"": 0.0, ""total"": 0.0}, {""description"": ""DATASHEET - CRITICAL INSTRUCTIONS 753420-5005S"", ""quantity"": 10.0, ""unit_price"": 0.0, ""total"": 0.0}, {""description"": ""DATASHEET - RED CRITICAL LABEL"", ""quantity"": 10.0, ""unit_price"": 0.0, ""total"": 0.0}, {""description"": ""STUD - FITKIT"", ""quantity"": 10.0, ""unit_price"": 0.0, ""total"": 0.0}]"
21075198,error,Could not download PDF from URL for 12092024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20842197,success,NA,6074,M0321775,108.0,18.0,GBP,2023-12-22,NA,NA,Revamp Mechanical Services Ltd,"[{""description"": ""Labour"", ""quantity"": 1.0, ""unit_price"": 90.0, ""total"": 90.0}]"
14050772,error,Failed to extract invoice data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14061849,error,Could not download PDF from URL for 14072018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20275894,success,NA,21001928,PO 501131,2798.7,0.0,EUR,2022-03-02,2022-05-15,45,AISIN EUROPE S.A.,"[{""description"": ""CL KIT (3PCS)"", ""quantity"": 14.0, ""unit_price"": 41.9, ""total"": 586.6}, {""description"": ""CL KIT (3PCS)"", ""quantity"": 8.0, ""unit_price"": 48.0, ""total"": 384.0}, {""description"": ""CL KIT (3PCS)"", ""quantity"": 1.0, ""unit_price"": 30.0, ""total"": 30.0}, {""description"": ""DUAL MASS FLYWH."", ""quantity"": 5.0, ""unit_price"": 359.62, ""total"": 1798.1}]"
13830801,error,Could not download PDF from URL for 02032018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20315291,error,Failed to extract invoice data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20687032,success,NA,57781,NA,433.13,72.19,GBP,2023-06-23,NA,NA,Complete Automotive Aftermarket Solutions Ltd,"[{""description"": ""10690101 - Mitsubishi Colt EPS Rack c/w motor"", ""quantity"": 1.0, ""unit_price"": 273.94, ""total"": 273.94}, {""description"": ""S10690101 - Surcharge - 10690101"", ""quantity"": 1.0, ""unit_price"": 75.0, ""total"": 75.0}]"
20982704,error,Could not download PDF from URL for 22062024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14329824,error,Could not download PDF from URL for 04012019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21275878,success,NA,UKF148242,20565,2914.0,0.0,GBP,2025-04-14,NA,NA,LKQ Group (UK) Ltd t/a Vege UK,"[{""description"": ""Engine bareFord Transit 2019-( Euro 6)BJFB/BKFA/BKFB/BLFB/BKRA/BCFA/BLH A /BKFC OemPartN"", ""quantity"": 1.0, ""unit_price"": 2064.0, ""total"": 2064.0}, {""description"": ""Deposit"", ""quantity"": 1.0, ""unit_price"": 850.0, ""total"": 850.0}, {""description"": ""Unit supplied for reported incident No. SWUK011378 No claims for labour or other associated costs will be accepted until the reported unit has been returned, inspected and liability determined."", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}, {""description"": ""**DELIVER TO**FG69 HKXGreat North Auto Services LtdRabbit Hill Business ParkGreat North RoadArkendaleKnaresborough HG5 0FF"", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}]"
20778476,success,NA,BHXR007619113,NA,81.86,13.65,GBP,2023-10-09,2023-11-08,30,DHL Express,"[{""description"": ""EXPRESS DOMESTIC"", ""quantity"": 6.0, ""unit_price"": 11.2, ""total"": 67.21}]"
20691464,error,Could not download PDF from URL for 29062023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20825172,error,Could not download PDF from URL for 05122023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20678362,success,NA,025I300190,mo306881,105.6,17.6,GBP,2023-06-15,NA,NA,Formula one autocentres,"[{""description"": ""205 60 16 H Budget Tyre 96H XL<br/>Fuel Eff"", ""quantity"": 1.0, ""unit_price"": 48.65, ""total"": 48.65}, {""description"": ""Tyre Disposal Charge**"", ""quantity"": 1.0, ""unit_price"": 1.93, ""total"": 1.93}, {""description"": ""Sundries"", ""quantity"": 1.0, ""unit_price"": 2.0, ""total"": 2.0}, {""description"": ""Geometry check inc front toe adjustment"", ""quantity"": 1.0, ""unit_price"": 25.0, ""total"": 25.0}, {""description"": ""Precison Wheel Balance"", ""quantity"": 1.0, ""unit_price"": 10.42, ""total"": 10.42}]"
19869236,success,NA,001210993,NA,599.46,0.0,GBP,2020-10-20,NA,NA,Andrew Page,"[{""description"": ""AIR SPRING REAR BMW 5-SERIES(F"", ""quantity"": 2.0, ""unit_price"": 179.99, ""total"": 57.0}, {""description"": ""MOBIL 1 ESP X2 0W20 GSP 5LTR"", ""quantity"": 2.0, ""unit_price"": 59.99, ""total"": 58.54}, {""description"": ""IGNITION COIL VAUXHALL 1.8I 16"", ""quantity"": 2.0, ""unit_price"": 74.16, ""total"": 58.58}, {""description"": ""INA TIMING BELT KIT WITH WATER PUMP"", ""quantity"": 2.0, ""unit_price"": 68.32, ""total"": 59.16}, {""description"": ""BRAKE DISC-BREMBO"", ""quantity"": 2.0, ""unit_price"": 59.16, ""total"": 59.5}, {""description"": ""BRAKE DISC-BREMBO"", ""quantity"": 2.0, ""unit_price"": 74.99, ""total"": 59.74}, {""description"": ""BRAKE DISC"", ""quantity"": 2.0, ""unit_price"": 86.66, ""total"": 59.82}, {""description"": ""BRAKE DISC-BREMBO"", ""quantity"": 2.0, ""unit_price"": 87.49, ""total"": 62.22}, {""description"": ""TIMING BELT KIT ALT AVAILABLE CHECK DAYCO APPLICAT"", ""quantity"": 2.0, ""unit_price"": 81.66, ""total"": 62.32}, {""description"": ""TIMING BELT KIT - DAYCO"", ""quantity"": 2.0, ""unit_price"": 76.66, ""total"": 62.58}]"
21251907,error,Failed to extract invoice data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13775423,error,Could not download PDF from URL for 31012018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14511249,error,Failed to extract invoice data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21086931,error,Could not download PDF from URL for 25092024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20272825,error,Could not download PDF from URL for 01032022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14442676,success,NA,105/75448,230069,5149.15,858.19,GBP,2019-03-21,NA,NA,CHARLES HURST LTD.,"[{""description"": ""ACTR-ELEC PKB"", ""quantity"": 6.0, ""unit_price"": 240.0, ""total"": 1440.0}, {""description"": ""LAMP-CLUSTER"", ""quantity"": 24.0, ""unit_price"": 24.0, ""total"": 576.0}, {""description"": ""LAMP-HEAD"", ""quantity"": 8.0, ""unit_price"": 65.35, ""total"": 522.8}, {""description"": ""LAMP-HEAD RH"", ""quantity"": 6.0, ""unit_price"": 80.0, ""total"": 480.0}, {""description"": ""LAMP-CLUSTER RR"", ""quantity"": 5.0, ""unit_price"": 32.0, ""total"": 160.0}, {""description"": ""LAMP-HEAD LH"", ""quantity"": 6.0, ""unit_price"": 46.0, ""total"": 276.0}, {""description"": ""LIGHT CLUSTERX4"", ""quantity"": 5.0, ""unit_price"": 26.0, ""total"": 130.0}, {""description"": ""LAMP-HEAD"", ""quantity"": 3.0, ""unit_price"": 95.0, ""total"": 285.0}, {""description"": ""HEADLAMP RH"", ""quantity"": 2.0, ""unit_price"": 95.0, ""total"": 190.0}, {""description"": ""HEADLAMP LH X6"", ""quantity"": 4.0, ""unit_price"": 57.79, ""total"": 231.16}]"
20600385,success,NA,262641,400818,108.84,18.14,GBP,2023-03-17,NA,30,PROSOL UK SALES & DISTRIBUTION LTD,"[{""description"": ""Brake Tester Roller Gritting Kit - CLASS 4 - FULL REFURB"", ""quantity"": 1.0, ""unit_price"": 82.8, ""total"": 82.8}, {""description"": ""NEXT DAY DELIVERY SERVICE"", ""quantity"": 1.0, ""unit_price"": 7.9, ""total"": 7.9}]"
20110841,success,NA,38700,NA,3877.68,NA,EUR,2021-08-05,2021-09-15,NA,ASPA GmbH,"[{""description"": ""oil filter"", ""quantity"": 19.0, ""unit_price"": 13.38, ""total"": 254.22}, {""description"": ""mirror glass"", ""quantity"": 1.0, ""unit_price"": 110.73, ""total"": 110.73}, {""description"": ""oil filter"", ""quantity"": 7.0, ""unit_price"": 9.56, ""total"": 66.92}, {""description"": ""oil filter"", ""quantity"": 37.0, ""unit_price"": 10.9, ""total"": 403.3}, {""description"": ""breather hose"", ""quantity"": 1.0, ""unit_price"": 45.91, ""total"": 45.91}, {""description"": ""oil filter"", ""quantity"": 27.0, ""unit_price"": 10.11, ""total"": 272.97}, {""description"": ""round seal"", ""quantity"": 10.0, ""unit_price"": 2.25, ""total"": 22.5}, {""description"": ""power windows left"", ""quantity"": 4.0, ""unit_price"": 143.91, ""total"": 575.64}, {""description"": ""ignition starter switch"", ""quantity"": 3.0, ""unit_price"": 67.64, ""total"": 202.92}, {""description"": ""steering column switch bla"", ""quantity"": 2.0, ""unit_price"": 135.94, ""total"": 271.88}, {""description"": ""light switch"", ""quantity"": 4.0, ""unit_price"": 81.69, ""total"": 326.76}, {""description"": ""series resistor"", ""quantity"": 5.0, ""unit_price"": 24.36, ""total"": 121.8}, {""description"": ""pulley"", ""quantity"": 7.0, ""unit_price"": 26.94, ""total"": 188.58}, {""description"": ""drive shaft"", ""quantity"": 2.0, ""unit_price"": 444.09, ""total"": 888.18}, {""description"": ""gasket set"", ""quantity"": 1.0, ""unit_price"": 41.79, ""total"": 41.79}, {""description"": ""gasket set"", ""quantity"": 1.0, ""unit_price"": 41.79, ""total"": 41.79}, {""description"": ""gasket set"", ""quantity"": 1.0, ""unit_price"": 41.79, ""total"": 41.79}]"
14051608,success,NA,4518128789,200398,240.34,40.06,GBP,2018-07-09,2018-08-31,30,PPG Industries (U.K.) Ltd.,"[{""description"": ""P488-KA45 WHITE"", ""quantity"": 1.0, ""unit_price"": 200.28, ""total"": 200.28}]"
13722031,error,Could not download PDF from URL for 20122017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13795753,success,NA,2222200640,208811,1464.96,244.16,GBP,2018-02-07,2018-04-08,60,HELLA Ltd,"[{""description"": ""Intercooler, charger for VW"", ""quantity"": 14.0, ""unit_price"": 87.2, ""total"": 1220.8}]"
20037570,error,Could not download PDF from URL for 08062021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14640131,error,Could not download PDF from URL for 07082019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14220696,success,NA,029531734 (COPY),NA,5.28,0.0,GBP,2018-10-17,NA,NA,Andrew Page,"[{""description"": ""UNIVERSAL HORN"", ""quantity"": 1.0, ""unit_price"": 5.28, ""total"": 5.28}]"
20022288,error,Could not download PDF from URL for s0001363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20506762,error,Could not download PDF from URL for 25112022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14418300,error,Could not download PDF from URL for 06032019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13877690,error,Could not download PDF from URL for 31032018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14254885,success,NA,SI-00426027,SO-00506285,167.95,27.99,GBP,2018-11-07,2019-01-31,NA,The Tool Connection Ltd,"[{""description"": ""Parking Sensor Kit - 18.2mm, 18.4mm, 26mm"", ""quantity"": 1.0, ""unit_price"": 139.96, ""total"": 139.96}]"
20743251,success,NA,9581868122,500002408391,225.64,37.61,GBP,2023-08-29,2023-10-28,60,3M,"[{""description"": ""3M\u2122Performance Manual Applicator, 08117,200 mL, 1 per case"", ""quantity"": 1000.0, ""unit_price"": 188.0285, ""total"": 188.03}]"
20395480,error,Could not download PDF from URL for 13072022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14747670,success,NA,SA56842,238973,1449.0,241.5,GBP,2019-10-16,NA,NA,Schrader Special Products Division,"[{""description"": ""Zinc Weight 20G BP (Box 100)"", ""quantity"": 150.0, ""unit_price"": 8.05, ""total"": 1207.5}]"
20074705,success,NA,SI-00036375,NA,554.7,92.45,GBP,2021-07-16,2021-08-31,NA,EURO CAR PARTS,"[{""description"": ""803955 VW crafter CKTB CKTC CNFA CSLB 2_Shelf No:_35"", ""quantity"": 1.0, ""unit_price"": 362.25, ""total"": 362.25}, {""description"": ""SURCHARGE Refundable on return of old unit."", ""quantity"": 1.0, ""unit_price"": 100.0, ""total"": 100.0}]"
14417151,error,Could not download PDF from URL for 05032019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14367670,error,Could not download PDF from URL for 30012019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14116569,error,Could not download PDF from URL for 15082018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20349433,success,NA,83621,400621 - 01/01/1900,125.69,20.95,GBP,2022-05-24,2022-07-15,45,GYS Ltd,"[{""description"": ""CONTACT CLAMP MANULINER"", ""quantity"": 1.0, ""unit_price"": 97.24, ""total"": 97.24}]"
17177053,success,NA,5092071,218783,338.14,56.36,GBP,2020-08-21,NA,NA,HMG Paints Ltd,"[{""description"": ""C71 SYNTHETIC FLUORESCENT COLOURS 5L"", ""quantity"": 1.0, ""unit_price"": 157.49, ""total"": 157.49}, {""description"": ""BOX OFF WHITE PRIMER (7122) 5L"", ""quantity"": 2.0, ""unit_price"": 28.19, ""total"": 56.38}, {""description"": ""2612 THINNER 5L"", ""quantity"": 1.0, ""unit_price"": 16.62, ""total"": 16.62}, {""description"": ""MARINE VARNISH 5L"", ""quantity"": 1.0, ""unit_price"": 39.79, ""total"": 39.79}, {""description"": ""DELIVERY/CARRIAGE"", ""quantity"": 1.0, ""unit_price"": 11.5, ""total"": 11.5}]"
20845026,success,NA,4889535987,NA,3899.06,0.0,GBP,2023-12-31,2024-01-30,30,Google Cloud EMEA Limited,"[{""description"": ""Google Cloud - Fee for December 2023"", ""quantity"": 1.0, ""unit_price"": 3899.06, ""total"": 3899.06}]"
20601728,success,NA,694398,23455,57.94,9.66,GBP,2023-03-16,2023-04-15,30,Tomo Parts Ltd,"[{""description"": ""DPD DELIVERY MRP"", ""quantity"": 1.0, ""unit_price"": 5.95, ""total"": 5.95}, {""description"": ""KIT - REAR VIEW OUTS GC"", ""quantity"": 1.0, ""unit_price"": 42.33, ""total"": 42.33}, {""description"": ""Special Order"", ""quantity"": 0.0, ""unit_price"": 0.0, ""total"": 0.0}, {""description"": ""You were served by Sonny"", ""quantity"": 0.0, ""unit_price"": 0.0, ""total"": 0.0}]"
21202965,success,NA,MX12530507,99998,558.74,93.12,GBP,2025-01-22,NA,NA,MARATHON WAREHOUSE DISTRIBUTION,"[{""description"": ""(R103-E5) CAT & DPF"", ""quantity"": 1.0, ""unit_price"": 465.62, ""total"": 465.62}]"
20483581,error,Could not download PDF from URL for 28102022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20089562,error,Could not download PDF from URL for 04082021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19794096,success,NA,110015481,259410,1249.61,NA,GBP,2020-10-05,NA,NA,"Keystone Automotive Operations, Inc.","[{""description"": ""DESIGN ENG TITANIUM EXH WRAP 2\""X50'"", ""quantity"": 10.0, ""unit_price"": 38.38, ""total"": 383.8}, {""description"": ""DESIGN ENG TITANIUM EXH WRAP 2\""X15'"", ""quantity"": 47.0, ""unit_price"": 13.31, ""total"": 625.57}, {""description"": ""DESIGN ENG QCK FIX TAPE BLACK 1X12FT"", ""quantity"": 33.0, ""unit_price"": 7.28, ""total"": 240.24}]"
13961002,error,Could not download PDF from URL for 19052018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14067592,error,Could not download PDF from URL for 18072018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19958342,success,NA,5809053,204017,537.6,89.6,GBP,2021-03-08,2021-06-05,NA,Ring Automotive Limited,"[{""description"": ""2825HCBI-02B 5W 12V W2.1X9.5DBLI2"", ""quantity"": 140.0, ""unit_price"": 3.2, ""total"": 537.6}]"
20693326,success,NA,58083,NA,148.18,24.7,GBP,2023-06-30,NA,NA,Complete Automotive Aftermarket Solutions Ltd,"[{""description"": ""603745359-30740842-PAS RACK RENAULT MEGANE I (TRW) 1.4 1.6"", ""quantity"": 1.0, ""unit_price"": 71.48, ""total"": 71.48}, {""description"": ""603745352-Surcharge for 603745359-30740842"", ""quantity"": 1.0, ""unit_price"": 40.0, ""total"": 40.0}]"
19916949,success,NA,UKF043458,23502,2115.0,0.0,GBP,2021-01-25,NA,NA,Euro Car Parts Limited trading as VEGE UK,"[{""description"": ""Engine barePeugeot/Ci PSA 2.2 HDi DOHC 16VP22TED/4HH/DRF5 (4H03) (Euro 5) UHFB/UHFA/DRFA/DR"", ""quantity"": 1.0, ""unit_price"": 1365.0, ""total"": 1365.0}, {""description"": ""Deposit"", ""quantity"": 1.0, ""unit_price"": 750.0, ""total"": 750.0}, {""description"": ""The PowerhouseFactory RoadHolmwood HouseSandycroftDeesideCH5 2QJ"", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}]"
19971986,error,Could not download PDF from URL for 23032021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21155729,success,NA,INV/2024/12/0015,NA,255.5,42.59,GBP,2024-12-02,2025-01-20,20,WITHAM OIL & PAINT (SOHAM) LTD,"[{""description"": ""[EF15W405ASAP] ASAP Eurofleet 15W-40 - 5 Litre"", ""quantity"": 4.0, ""unit_price"": 15.57, ""total"": 62.28}, {""description"": ""[HM325ASAP] ASAP Hydraulic HM32 - 5 Litre"", ""quantity"": 1.0, ""unit_price"": 13.99, ""total"": 13.99}, {""description"": ""[HM465ASAP] ASAP Hydraulic HM46 - 5 Litre"", ""quantity"": 1.0, ""unit_price"": 13.98, ""total"": 13.98}, {""description"": ""[HM3225ASAP] ASAP Hydraulic HM32 - 25 Litre"", ""quantity"": 2.0, ""unit_price"": 61.33, ""total"": 122.66}]"
20883402,success,NA,5021226296,247110,657.36,109.56,GBP,2024-02-14,2024-04-30,76,TTI (UK) Limited,"[{""description"": ""M12ATB-0C Automotive Tech Borescope-XXX 4058546480073"", ""quantity"": 2.0, ""unit_price"": 415.0, ""total"": 547.8}]"
13963255,error,Could not download PDF from URL for 22052018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13623984,success,NA,AR01417521,NA,1905.62,317.6,GBP,2020-05-22,2020-08-29,NA,ZF Services UK Ltd.,"[{""description"": ""CA1285.PA CALIPER PAGID"", ""quantity"": 30.0, ""unit_price"": 13.15, ""total"": 394.5}, {""description"": ""Surcharge: CA1285.PA"", ""quantity"": 30.0, ""unit_price"": 30.0, ""total"": 900.0}, {""description"": ""CA3355.PA CALIPER PAGID"", ""quantity"": 1.0, ""unit_price"": 35.0, ""total"": 35.0}, {""description"": ""Surcharge: CA3355.PA"", ""quantity"": 1.0, ""unit_price"": 30.0, ""total"": 30.0}, {""description"": ""CA3357.PA CALIPER PAGID"", ""quantity"": 3.0, ""unit_price"": 27.13, ""total"": 81.39}, {""description"": ""Surcharge: CA3357.PA"", ""quantity"": 3.0, ""unit_price"": 30.0, ""total"": 90.0}, {""description"": ""CA3357.PA CALIPER PAGID"", ""quantity"": 1.0, ""unit_price"": 27.13, ""total"": 27.13}, {""description"": ""Surcharge: CA3357.PA"", ""quantity"": 1.0, ""unit_price"": 30.0, ""total"": 30.0}]"
21257013,success,NA,UKF147062,SOUK078044,1040.0,0.0,GBP,2025-03-24,NA,NA,LKQ Group (UK) Ltd t/a Vege UK,"[{""description"": ""GearboxPeugeot YHY/YH01 Gearbox # ET52/ET54 Oem part . 1623092980"", ""quantity"": 1.0, ""unit_price"": 590.0, ""total"": 590.0}, {""description"": ""Deposit"", ""quantity"": 1.0, ""unit_price"": 450.0, ""total"": 450.0}, {""description"": ""Unit supplied for reported incident No. SWUK011272 No claims for labour or other associated costs will be accepted until the reported unit has been returned, inspected and liability determined."", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}, {""description"": ""**DELIVER TO**NV21 KJXNORTHGATE VEH HIRERED DOLES LANELEEDS ROAD TRADE PARKHUDDERSFIELDHD2 1YF"", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}]"
15744754,success,NA,32676,NA,2185.69,364.28,GBP,2020-07-30,NA,NA,Complete Automotive Aftermarket Solutions Ltd,"[{""description"": ""603600341-CS-60102-ELECTRIC STEERING RACK HONDA JAZZ 2002-20"", ""quantity"": 2.0, ""unit_price"": 215.4375, ""total"": 430.88}, {""description"": ""603220601-CS-22101-ELECTRIC STEERING RACK A-CLASS(169) B-CLA"", ""quantity"": 4.0, ""unit_price"": 225.78, ""total"": 903.12}, {""description"": ""603600101-CS-60105-ELECTRIC STEERING RACK HONDA CIVIC Mk8 20"", ""quantity"": 1.0, ""unit_price"": 212.7075, ""total"": 212.71}, {""description"": ""603680231-CS-68102-ELECTRIC STEERING RACK MAZDA 6 2007- (SHO"", ""quantity"": 1.0, ""unit_price"": 274.695, ""total"": 274.7}, {""description"": ""Extras claim"", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}]"
15636890,success,NA,9580996495,237361,138.52,0.0,GBP,2020-07-24,2020-09-22,60,3M,"[{""description"": ""2890SA GOGGLE SEALED ACETATE AF 10/CASE"", ""quantity"": 20.0, ""unit_price"": 6.9262, ""total"": 138.52}]"
14381735,success,NA,2257076206,NA,59.16,9.86,GBP,2019-02-01,2019-04-30,88,ROBERT BOSCH LTD.,"[{""description"": ""Brake Disc"", ""quantity"": 2.0, ""unit_price"": 19.65, ""total"": 39.3}]"
20141544,error,Could not download PDF from URL for 01102021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20439740,error,Could not download PDF from URL for 06092022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20615871,success,NA,55237,NA,532.52,88.75,GBP,2023-03-31,NA,NA,Complete Automotive Aftermarket Solutions Ltd,"[{""description"": ""603735579-30544034-PAS RACK DISPATCH/EXPERT/SCUDO 2.0 MODELS"", ""quantity"": 2.0, ""unit_price"": 121.884, ""total"": 243.77}, {""description"": ""603735572-Surcharge for 603735579-30544034"", ""quantity"": 2.0, ""unit_price"": 100.0, ""total"": 200.0}]"
20086533,error,Could not download PDF from URL for 30072021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20710216,error,Could not download PDF from URL for n0010072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20873216,error,Could not download PDF from URL for 02022024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20279269,success,NA,44/042730,248905,163.65,27.27,GBP,2022-03-03,2022-04-30,NA,National Safety Supplies,"[{""description"": ""MATRIX F-GRIP WHITE/GREY 100/101/102/103/104/5 (4121X)CUT 1"", ""quantity"": 2.0, ""unit_price"": 0.71, ""total"": 1.42}, {""description"": ""MATRIX F-GRIP WHITE/GREY 100/101/102/103/104/5 (4121X)CUT 1"", ""quantity"": 4.0, ""unit_price"": 0.71, ""total"": 2.84}, {""description"": ""ANSELL 11-800 HYFLEX FOAM NITRILE PALM K/WRIST (313IA) CUT A"", ""quantity"": 36.0, ""unit_price"": 2.62, ""total"": 94.32}, {""description"": ""UC902 CARGO TROUSERS BLACK 245GSM REG LEG"", ""quantity"": 1.0, ""unit_price"": 9.45, ""total"": 9.45}, {""description"": ""UC902 CARGO TROUSERS BLACK 245GSM REG LEG"", ""quantity"": 3.0, ""unit_price"": 9.45, ""total"": 28.35}]"
14246842,error,Could not download PDF from URL for 05112018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20779338,error,Could not download PDF from URL for 10102023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20035079,success,NA,UKF050307,SOUK029142,569.0,0.0,GBP,2021-06-03,NA,NA,Euro Car Parts Limited trading as VEGE UK,"[{""description"": ""GearboxFord Ford L4 1.25 OHC 8VSNJA/SNJB/STJA/STJB Gearbox# Oem part 8A6R-7002-"", ""quantity"": 1.0, ""unit_price"": 319.0, ""total"": 319.0}, {""description"": ""DEPOSIT"", ""quantity"": 1.0, ""unit_price"": 250.0, ""total"": 250.0}, {""description"": ""Deliver @Bromby & EvansUnit 5c1 Cannon LaneTonbridgeKent TN9 1PP"", ""quantity"": 1.0, ""unit_price"": 0.0, ""total"": 0.0}]"
